meanR;meanG;meanB;stdR;stdG;stdB;skewR;skewG;skewB;kurR;kurG;kurB;entR;entG;entB;Class
18.11221416;16.17465637;4.090831869;46.22401881;41.70677974;12.87668262;2.31469292;2.374163896;4.291398882;3.771380121;4.094002485;22.64901883;11.16841837;11.15717429;10.96679906;1
16.78450906;16.17219089;4.421566815;42.43899201;41.43176733;14.50092866;2.255463138;2.334142791;4.111652158;3.416134358;3.848822256;18.69435475;11.17965668;11.1654864;10.87949962;1
17.16440921;14.55313309;4.193738828;45.09759059;38.61817215;13.22443434;2.413359479;2.466971935;4.180686114;4.294302744;4.58714909;21.37204086;11.11917173;11.1077278;10.94425769;1
18.66457871;17.55303678;3.575638329;45.40878831;42.98857738;11.67158051;2.157511365;2.176564175;4.920777355;3.028874281;3.056245344;30.94779974;11.24728894;11.23895883;10.96398056;1
18.37795473;15.98772844;4.040067955;46.76259136;41.0865096;12.86536474;2.279276429;2.324657474;4.252060312;3.52347187;3.727430126;21.79646542;11.16989094;11.15807188;10.94305592;1
16.3518938;14.56961523;4.188465006;40.64860521;36.46973874;13.94207771;2.323195155;2.354248459;4.24842919;4.080159905;4.232087751;20.56141196;11.22661004;11.21792044;10.86317361;1
17.03744453;14.54891673;3.470776319;43.40680067;37.45740893;11.72379589;2.281374547;2.342145313;5.031290801;3.513397732;3.851443575;31.79162554;11.16842934;11.1564963;10.89096581;1
23.04521658;21.23085591;4.840267505;50.60422293;46.74380643;13.86606361;1.857788597;1.863916884;3.830440617;1.731776404;1.733794944;17.73538844;11.41889181;11.4155532;11.13874165;1
20.151346;17.25171428;4.738358296;49.165445;42.36270479;13.79230506;2.160236771;2.197699705;3.689853916;2.991898021;3.182681142;16.50667604;11.24295309;11.23624099;11.06646968;1
22.56099952;18.58703156;4.840851131;52.56871534;44.17621273;14.01329899;2.04365392;2.163961704;3.914460775;2.522915036;3.168496709;18.69382156;11.32405909;11.30363419;11.11606796;1
19.07294941;16.09241325;4.794706145;48.00752608;40.97754128;14.70558652;2.259276574;2.317229027;3.867660707;3.47048384;3.748819975;16.85697283;11.19029851;11.1771216;10.99140523;1
21.06329743;18.93048493;5.327631903;49.37395454;44.73135523;15.14644781;2.042967621;2.085747802;3.667928618;2.467257597;2.678318926;16.09856229;11.31131754;11.30252211;11.12289689;1
24.08780587;21.75052199;5.466500247;54.44919477;49.77756265;15.68089702;1.967611598;2.033072971;3.656072179;2.160222152;2.482226266;15.2109289;11.38033072;11.36696328;11.11944771;1
19.68877126;18.70330606;3.652611486;47.3784104;45.58859247;12.91039778;2.149460697;2.210496128;4.857709761;3.031948878;3.321685948;27.59239411;11.27116133;11.2562318;10.80653606;1
19.29298609;17.79978157;4.591662044;46.80782615;43.85835489;14.64101174;2.169719675;2.247023455;3.97308339;3.07792511;3.471854914;17.4255241;11.25872106;11.24054745;10.93140125;1
15.41966377;12.91027952;3.919261203;36.17579029;31.42574444;13.29800643;2.167483268;2.359423785;4.722530161;3.255673778;4.294289916;25.70813559;11.33389775;11.29198223;10.8892546;1
21.05486663;20.30381688;4.939973188;50.32105615;49.106932;14.88690035;2.11539812;2.169001412;4.060865543;2.757606138;3.008635024;19.6484088;11.28518904;11.27092513;11.05087268;1
18.68774077;16.00526804;5.197737534;46.13750155;40.08655991;15.70983696;2.280065892;2.356901882;3.769030644;3.779779742;4.174618513;16.05605781;11.23599136;11.22017413;11.00874413;1
19.09843634;17.86039201;4.820175743;44.98517171;42.56536814;14.24705888;2.1000616;2.158288283;3.965749039;2.834496087;3.102824821;19.11520033;11.309962;11.29694462;11.07392438;1
22.37805296;19.0114279;4.149477626;52.37217678;45.11070615;12.85659086;2.017865978;2.094064869;4.423524895;2.304634991;2.688841722;23.91690488;11.31101383;11.29610177;11.02923444;1
17.84471115;16.56340722;5.215922399;44.06555586;41.19160401;15.3051679;2.252149669;2.284933615;3.758112071;3.510921836;3.666763543;16.3934187;11.23421444;11.22589245;11.0646804;1
19.79220214;16.75480962;4.375498875;49.04648918;42.16169853;14.28825115;2.265070075;2.35860127;4.220123784;3.612911992;4.149259642;20.14833962;11.22654354;11.21026444;10.90350525;1
20.52121471;16.13464813;4.245267428;50.57529802;40.82653674;13.38932755;2.217986371;2.374775949;4.242574922;3.274952176;4.163014031;21.43566963;11.23336335;11.20470737;10.96960582;1
22.81152536;19.81581107;4.739881888;52.72565142;46.46183086;15.17616414;2.001261282;2.083892883;3.92101248;2.277613079;2.703657109;16.48636403;11.33516953;11.32016296;10.92865595;1
18.14500894;14.10410696;3.756269647;43.76930059;35.36432935;11.85404616;2.198091673;2.415852832;4.735819339;3.254178771;4.477502949;29.65867791;11.28048689;11.23725213;11.00073463;1
15.58027652;12.20560204;2.899342795;43.09778222;34.64793702;10.09185289;2.530079315;2.697152933;5.110211;4.683373207;5.746187713;34.88455296;11.02649878;10.99737329;10.79583831;1
17.23489892;13.3788581;3.89287668;44.83958229;35.73951933;12.47142732;2.379774465;2.54082129;4.30352983;4.041293345;5.014239961;23.64993119;11.14011832;11.11043985;10.91410902;1
15.25365778;11.91893953;3.698047645;39.06473644;31.98163563;12.23018296;2.495724844;2.755906881;4.85615397;4.975790321;6.560999498;29.4383702;11.199889;11.14612644;10.92624985;1
20.07429965;16.98592941;4.624807384;50.01679771;43.08430104;14.43108785;2.266644644;2.372044972;4.039562021;3.556797828;4.165393173;19.35437124;11.21637924;11.19664457;10.96374341;1
16.1555065;13.52635178;3.91986409;41.41514898;35.79976348;12.98149586;2.431960149;2.597575305;4.690675576;4.442856519;5.397139489;26.19290219;11.18771711;11.14938128;10.91831639;1
23.9124426;19.76351971;4.266445544;54.36514622;45.66383365;14.00182757;1.998730329;2.087114281;4.553462919;2.351222188;2.796367388;24.12427165;11.37143199;11.35408276;10.94120171;1
16.55904447;13.95528615;3.802245131;45.53160994;38.92468613;12.8688274;2.545134919;2.62164303;4.663021641;4.841147118;5.298187346;26.24610217;11.04254585;11.02490213;10.8441565;1
